ROUTE,COUNTY,POST_MILE,YEAR,AM_DIR,AM_PEAK_VOL_PEAK_DIR,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
216,TUL,0.488,17,W,697,9.21,54.88,5.05,7,TUE,APR,E,828.00,9.95,60.31,6,17,TUE,OCT
216,TUL,2.46,17,W,317,12.68,59.92,7.6,11,SUN,FEB,W,224.00,9.01,59.57,5.37,13,SUN,JAN
216,TUL,11.732,17,W,229,9.33,61.73,5.76,7,THU,OCT,E,221.00,9.66,57.55,5.56,16,THU,OCT
216,TUL,14.006,17,W,265,10.02,57.48,5.76,7,TUE,JAN,E,280.00,11.52,52.83,6.09,16,THU,APR
216,TUL,14.006,17,W,301,9.51,59.72,5.68,7,THU,APR,E,301.00,9.76,58.22,5.68,16,THU,APR
216,TUL,19.245,17,E,64,8.2,63.37,5.19,7,THU,JUL,E,80.00,10.63,61.07,6.49,17,WED,APR
217,SB,0.464,17,W,1053,10.57,81.82,8.65,8,WED,OCT,E,1086.00,11.71,76.16,8.92,17,MON,JAN
218,MON,0,16,E,1087,8.26,52.34,4.32,8,TUE,NOV,W,1299.00,8.19,63.12,5.17,16,FRI,FEB
220,SAC,3.114,17,E,97,22.37,59.15,13.23,12,SAT,JUL,W,60.00,14.6,56.08,8.19,15,FRI,JUL
222,MEN,0.96,15,E,349,9.34,51.25,4.79,12,TUE,APR,E,410.00,11.03,51,5.62,16,WED,APR
223,KER,1.85,15,W,121,10.18,82.88,8.44,5,WED,JUN,E,136.00,12.27,77.27,9.48,16,TUE,DEC
223,KER,10.94,15,W,261,6.64,62.89,4.18,12,SUN,SEP,E,340.00,8.57,63.55,5.44,17,MON,DEC
223,KER,16.014,15,W,371,6.74,70.67,4.77,5,TUE,SEP,E,423.00,9.74,55.81,5.43,16,FRI,SEP
223,KER,16.014,15,E,353,8.66,61.39,5.32,5,WED,JUN,E,349.00,10.12,51.94,5.26,16,FRI,NOV
223,KER,20.911,15,W,423,8.25,51.27,4.23,12,FRI,MAR,E,500.00,9.06,55.19,5,17,FRI,SEP
223,KER,31.92,15,W,121,9.53,86.43,8.24,7,SAT,DEC,E,109.00,12.19,60.89,7.42,15,FRI,SEP
227,SLO,7.12,17,N,1099,11.09,76.37,8.47,6,WED,APR,S,1341.00,13.14,78.65,10.34,15,THU,JUN
233,MAD,0.005,16,S,179,7.09,72.18,5.11,6,WED,APR,N,215.00,9.91,61.96,6.14,16,FRI,APR
233,MAD,3.586,16,N,612,8.91,53.08,4.73,8,MON,APR,N,641.00,9.72,50.95,4.95,18,WED,JAN
