DI,RTE,CO,PRE,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
04,004,CC,,0.000,119,A,15,E,1479,8.450,74.470,6.300,7,WED,JUN,E,"1,802",10.500,73.020,7.670,17,WED,SEP
04,004,CC,R,8.549,523,B,15,E,2231,8.110,56.970,4.620,7,THU,DEC,E,"2,267",9.080,51.720,4.700,16,TUE,SEP
04,004,CC,R,11.400,912,B,17,W,3456,6.600,51.810,3.420,7,THU,NOV,E,"3,334",6.100,54.030,3.300,14,FRI,JUL
04,004,CC,,12.667,24,A,15,W,3859,8.460,53.730,4.540,7,TUE,DEC,E,"3,666",7.310,59.040,4.320,15,THU,DEC
04,004,CC,R,20.102,416,A,15,W,6375,5.240,84.400,4.430,5,TUE,JUN,E,"6,028",6.770,61.850,4.180,17,TUE,MAR
04,004,CC,R,41.960,486,B,15,E,772,8.250,65.370,5.390,11,WED,JUN,E,502,6.360,55.170,3.510,13,WED,JUN
10,004,SJ,,6.037,327,A,17,W,641,8.490,66.430,5.640,6,TUE,AUG,E,906,10.590,75.250,7.970,15,FRI,JUN
10,004,SJ,,6.037,328,B,17,W,681,8.510,68.030,5.790,6,TUE,AUG,E,902,10.590,72.390,7.660,15,FRI,JUN
10,004,SJ,T,14.045,54,A,16,W,832,7.530,75.290,5.670,6,MON,APR,E,"1,340",12.210,74.820,9.140,17,FRI,OCT
10,004,SJ,,15.912,113,B,15,W,907,7.090,69.400,4.920,6,TUE,OCT,E,"1,398",10.430,72.700,7.590,16,FRI,JUL
10,004,SJ,R,16.059,59,A,16,E,3306,8.010,52.590,4.210,7,WED,SEP,E,"3,182",7.750,52.300,4.050,14,FRI,APR
10,004,SJ,,24.870,313,A,16,E,425,9.880,75.490,7.460,11,SAT,FEB,W,481,11.690,72.220,8.440,13,MON,FEB
10,004,SJ,,24.870,336,B,16,W,375,10.560,60.980,6.440,11,SUN,JUL,W,438,10.750,69.970,7.520,16,SUN,AUG
11,005,SD,R,0.878,501,A,17,S,1680,5.840,64.870,3.790,12,SAT,MAY,S,"2,686",8.420,71.900,6.050,15,FRI,JUN
11,005,SD,R,11.129,952,A,17,N,8583,6.010,69.660,4.190,6,TUE,AUG,S,"9,186",7.580,59.140,4.480,14,WED,MAY
11,005,SD,R,12.647,903,A,17,N,8615,6.460,79.920,5.160,6,THU,MAY,S,"7,950",7.820,60.900,4.760,14,THU,JUN
11,005,SD,R,20.056,800,B,17,S,8018,7.240,53.210,3.850,8,THU,OCT,S,"8,017",7.460,51.600,3.850,15,SAT,JUL
11,005,SD,R,20.056,931,A,17,S,7442,7.000,54.840,3.840,8,THU,FEB,S,"8,602",7.580,58.560,4.440,15,WED,DEC
